ID;In welchem Bereich arbeitest du hauptsächlich?;Wie groß ist dein Unternehmen?;In welcher Branche ist dein Unternehmen tätig?;Wie häufig nutzt du GenAI-Tools im beruflichen Umfeld?;Für welche Aufgaben setzt du GenAI hauptsächlich ein?;Welche GenAI Modelle/Tools nutzt du?;Wie schätzt du aktuell deine Kompetenz im Umgang mit GenAI ein?;Heute;In 1-3 Jahren;Wie sicher fühlst du dich bei der Einordnung der Ergebnisse von GenAI-Antworten?;Warum nutzt du keine GenAI-Tools?;In welchen Bereichen wünschst du dir Verbesserungen bei der persönlichen Nutzung von GenAI-Tools?;Bist du dir der Datenschutz-/Datensicherheitsregeln bezüglich der Nutzung von GenAI-Tools bewusst?;GenAI wird aktuell als Wachstumstreiber und als Effizienzhebel beschrieben. Wie denkst du wird sich GenAI primär in deinem Unternehmen auswirken?;In welchem Stadium befinden sich die Dir bekannten KI-Anwendungsfälle überwiegend;Was ist aktuell die größte Herausforderung beim unternehmensweiten Einsatz von (Gen)AI?;Welche Modellstrategie wird Deiner Einschätzung nach in den nächsten 5 Jahren dominieren?
1;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;Softwareentwicklung ;";"Anthrophic Claude;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Deutliche Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
2;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;";"Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Fehlende Datenqualität und -verfügbarkeit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
3;Support & Service;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Selten;"Recherche und Wissensvermittlung;";"OpenAI ChatGPT;";Ich habe GenAI-Tools wie ChatGPT lediglich ausprobiert.;Keine Änderung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Integration in bestehende IT-Systeme;Spezialisierte, kleinere Modelle für spezifische Aufgaben
4;Operations (DevOps, Platform Engineering, IT-Admin);Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Wöchentlich;"Recherche und Wissensvermittlung;";"Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Fehlende Datenqualität und -verfügbarkeit;Kann ich nicht einschätzen
5;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Ideenfindung;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);In Konzeption oder Entwicklung;Mangel an qualifiziertem Personal und Know-how;Hybridansatz aus großen und spezialisierten Modellen
6;Support & Service;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Softwareentwicklung ;";"Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;Akzeptanz im Team/Unternehmen;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
7;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Wöchentlich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Entscheidungsautomatisierung;Softwareentwicklung ;";"Google Gemini;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Deutliche Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Prototyp vorhanden, weitere Entwicklung erforderlich;Integration in bestehende IT-Systeme;Kann ich nicht einschätzen
8;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich sehe keine nützliche Einsatzmöglichkeit in meinem Tätigkeitsbereich.;"Mehr Integration (Email, Terminkalender, Office Tools);Datensicherheit;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Kann ich nicht einschätzen
9;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Prozessautomatisierung;Softwareentwicklung ;Bugfixing;";"Google Gemini;OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
10;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Selten;"Prozessautomatisierung;";"OpenAI ChatGPT;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
